,1. open,2. high,3. low,4. close,5. volume
2025-03-13 19:55:00,210.3,210.49,210.2,210.2,6669
2025-03-13 19:50:00,210.2783,210.5,210.116,210.2999,3815
2025-03-13 19:45:00,210.15,210.32,210.05,210.2989,2199
2025-03-13 19:40:00,210.0679,210.28,210.02,210.1017,1467
2025-03-13 19:35:00,210.25,210.45,210.13,210.32,2786
2025-03-13 19:30:00,210.3825,210.5,209.68,210.45,19936
2025-03-13 19:25:00,210.38,210.5,210.2201,210.45,1084
2025-03-13 19:20:00,210.45,210.45,209.68,210.38,3520
2025-03-13 19:15:00,210.59,210.64,210.3037,210.4486,1313
2025-03-13 19:10:00,210.344,238.955,210.34,210.54,5458
2025-03-13 19:05:00,210.38,210.69,209.68,210.5,5382
2025-03-13 19:00:00,210.51,210.6,210.38,210.39,4392
2025-03-13 18:55:00,210.69,210.7,210.45,210.51,6182
2025-03-13 18:50:00,210.59,210.75,210.52,210.69,5913
2025-03-13 18:45:00,210.6,210.6,210.52,210.59,2725
2025-03-13 18:40:00,210.64,210.88,210.5,210.6,12750
2025-03-13 18:35:00,210.5,210.8,210.4,210.55,7375
2025-03-13 18:30:00,210.48,210.71,210.3,210.5,4169
2025-03-13 18:25:00,210.25,210.48,210.22,210.48,5174
2025-03-13 18:20:00,210.3,210.34,210.2,210.25,3171
2025-03-13 18:15:00,210.35,210.46,210.22,210.3,8345
2025-03-13 18:10:00,210.32,210.45,210.193,210.35,12745
2025-03-13 18:05:00,210.16,210.39,210.01,210.33,9635
2025-03-13 18:00:00,209.93,210.37,209.9,210.11,7546
2025-03-13 17:55:00,209.8,209.94,209.79,209.92,10806
2025-03-13 17:50:00,209.8,209.85,209.7992,209.82,2313
2025-03-13 17:45:00,209.75,209.8852,209.68,209.7232,8944
2025-03-13 17:40:00,209.8,209.8,209.7,209.7499,915
2025-03-13 17:35:00,209.79,209.9,209.73,209.73,3350
2025-03-13 17:30:00,209.75,209.9,209.73,209.76,947
2025-03-13 17:25:00,209.73,209.9,209.72,209.76,2185
2025-03-13 17:20:00,209.84,209.84,209.7,209.72,2345
